,lat,lng,title,rating,coordinate
84,35.7014,139.7726,サブウェイ 秋葉原タイムズタワー店 SUBWAY Akihabara Times Tower,4.7,"(35.7014, 139.7726)"
85,35.6679,139.7598,俺の焼肉 銀座9丁目店 Oreno Yakiniku Ginza 9Chome,,"(35.6679, 139.7598)"
86,35.6916,139.7705,京だしおでん 極 神田駅前店 kyoudashioden kiwami kandaekime,5.0,"(35.6916, 139.7705)"
87,35.6741,139.7638,ジアレイ　有楽町店,4.9,"(35.6741, 139.7638)"
88,35.6744,139.7638,クリスピー・クリーム・ドーナツ 有楽町イトシア店 Krispy Kreme Doughnuts Yuraku-cho,4.8,"(35.6744, 139.7638)"
89,35.6994,139.7451,七宝麻辣湯 飯田橋 Cheepao Maratan Iidabashi,,"(35.6994, 139.7451)"
90,35.681,139.7638,クアアイナ 丸ビル店,4.7,"(35.681, 139.7638)"
91,35.6813,139.7738,サラダボウル専門店WithGreen 日本橋高島屋S.C.店,,"(35.6813, 139.7738)"
92,35.686,139.7645,フリホーレス ブリトー＆タコス 大手町ファーストスクエア店 Frijoles Otemachi First Square,4.6,"(35.686, 139.7645)"
93,35.6977,139.7752,バーガーキング 秋葉原昭和通り店 Burger King AKIHABARA SHOWA-DORI,4.6,"(35.6977, 139.7752)"
94,35.6872,139.7751,スターバックス コーヒー 日本橋本町店 Starbucks Coffee Nihonbashi-honcho,4.9,"(35.6872, 139.7751)"
95,35.6873,139.7749,ゴンチャ 日本橋武田グローバル本社ビル店 Gong Cha Nihonbashi Takeda Global Hq,4.7,"(35.6873, 139.7749)"
96,35.6857,139.7728,日本橋三越本店 本館地下1階食品フロアー MITSUKOSHI Nihonbashi B1F FOOD floor,4.8,"(35.6857, 139.7728)"
97,35.7079,139.7714,東大門 toudaimon,,"(35.7079, 139.7714)"
98,35.6989,139.7747,築地銀だこ ヨドバシAKIBA店,4.8,"(35.6989, 139.7747)"
99,35.7066,139.7529,春水堂 東京ドームシティラクーア店 Chunshuitang Tokyo Dome City LaQua,,"(35.7066, 139.7529)"
100,35.6913,139.77,タコライス専門店 KINGCAFE 神田店,,"(35.6913, 139.77)"
101,35.6663,139.7691,すしざんまい 奥の院,4.9,"(35.6663, 139.7691)"
102,35.6867,139.7822,鶏あえずタンパク 人形町店 Chicken & Protein Ningyocho,4.7,"(35.6867, 139.7822)"
103,35.701,139.7721,CoCo都可 秋葉原店 CoCo Fresh Tea & Juice Akihabara Store,,"(35.701, 139.7721)"
104,35.6647,139.7622,チョップド サラダ デイズ カレッタ汐留店 CHOPPED SALAD DAYS,,"(35.6647, 139.7622)"
105,35.6795,139.7709,エリックサウス 八重洲店 ERICK SOUTH YAESU,4.9,"(35.6795, 139.7709)"
106,35.668,139.7619,小尾羊 薬膳しゃぶしゃぶ 銀座店,,"(35.668, 139.7619)"
107,35.6694,139.7648,東京油組総本店 銀座組 ToKyo Aburagumi Souhonten Ginza shop,,"(35.6694, 139.7648)"
108,35.6756,139.7374,七宝麻辣湯 赤坂 Cheepao Maratan Akasaka,,"(35.6756, 139.7374)"
109,35.6995,139.7814,主食になるパワーサラダ専門店 KITCHEN&co 秋葉原店,,"(35.6995, 139.7814)"
110,35.6863,139.7757,日本橋　天ぷらめし　金子半之助　日本橋店,4.6,"(35.6863, 139.7757)"
111,35.6776,139.7362,ウェンディーズ・ファーストキッチン 赤坂見附店 Wendy's First Kitchen AKASAKAMITSUKE,4.7,"(35.6776, 139.7362)"
112,35.6692,139.7591,俺のパエリア by俺のスパニッシュ,4.6,"(35.6692, 139.7591)"
113,35.6764,139.7365,東京油組総本店 赤坂見附組 ToKyo Aburagumi Souhonten Akasaka Mitsuke shop,,"(35.6764, 139.7365)"
114,35.6684,139.7695,健康中華 青蓮 東銀座店 Healthy Chinese SEIREN Higashi-Ginza,,"(35.6684, 139.7695)"
115,35.6926,139.739,カマロチキン市ヶ谷店 Gamaro Chicken Ichigayaten,,"(35.6926, 139.739)"
116,35.6742,139.7378,ネネチキン＆スサンハンポチャ,4.7,"(35.6742, 139.7378)"
117,35.7012,139.7556,バインミー サンドイッチ水道橋店 Banhmi Sandwich,,"(35.7012, 139.7556)"
118,35.6836,139.7834,バーミヤン 水天宮前店 Bamiyan Suitengumae,4.6,"(35.6836, 139.7834)"
119,35.669,139.7681,Ju the burger 東銀座店,4.8,"(35.669, 139.7681)"
