,lat,lng,title,rating,coordinate
60,35.6608,139.3584,安楽亭 八王子大和田,4.3,"(35.6608, 139.3584)"
61,35.6253,139.4247,吉野家 京王多摩センター,4.5,"(35.6253, 139.4247)"
62,35.6034,139.3648,牛角食べ放題専門店 多摩境店 Gyukaku Tabehoudai Senmonten Tamasakai,4.2,"(35.6034, 139.3648)"
63,35.6449,139.3548,炒飯総本家 【中華/チャーハン/餃子】京王北野北口店,4.6,"(35.6449, 139.3548)"
64,35.6246,139.392,高尾タンメンイタダキ 松木店,,"(35.6246, 139.392)"
65,35.6241,139.4012,MAX鈴木の背脂飯店【チャーハン/焼きそば/唐揚げ/ラーメン】京王堀之内店,,"(35.6241, 139.4012)"
66,35.6419,139.3677,山田うどん食堂八王子長沼店,4.7,"(35.6419, 139.3677)"
67,35.6232,139.3918,すし銚子丸 多摩ニュータウン店,,"(35.6232, 139.3918)"
68,35.6141,139.3805,はま寿司 南大沢駅前 Hamazushi Minami Osawa ekimae,4.5,"(35.6141, 139.3805)"
69,35.6139,139.3794,究極のブロッコリーと鶏胸肉 南大沢店 The ultimate broccoli & chicken breast Minami-osawa  ​,,"(35.6139, 139.3794)"
70,35.6448,139.3547,担々つけ麺 旨辛セサミ 京王北野北口店【中華麺/炒飯/餃子】,,"(35.6448, 139.3547)"
71,35.6459,139.3544,ほっともっと 八王子北野店,4.6,"(35.6459, 139.3544)"
72,35.6369,139.4134,サイゼリヤ 八王子東中野,,"(35.6369, 139.4134)"
74,35.628,139.3913,ココス 八王子越野 COCO'S Hachiojikoshino,4.8,"(35.628, 139.3913)"
75,35.6549,139.3947,ほっともっと 日野南平店,4.7,"(35.6549, 139.3947)"
76,35.6241,139.4012,サイゼリヤ 京王堀之内駅前,,"(35.6241, 139.4012)"
77,35.6244,139.3978,ピザーラスタイル多摩ﾆｭ-ﾀｳﾝ（PIZZA-LA STYLE Tama nyūtaun）,4.6,"(35.6244, 139.3978)"
78,35.614,139.3812,サイゼリヤ 南大沢駅前,,"(35.614, 139.3812)"
79,35.6132,139.3997,丸亀製麺 多摩,4.8,"(35.6132, 139.3997)"
0,35.5936,139.3776,すき家 町田小山店 Sukiya Machida Oyama,4.6,"(35.5936, 139.3776)"
12,35.5954,139.3451,天丼てんや 橋本,4.4,"(35.5954, 139.3451)"
13,35.5996,139.363,ローソン ＬＴＦ町田多摩境,4.4,"(35.5996, 139.363)"
31,35.6014,139.3526,三ツ目珈琲 Mitsume Coffee,,"(35.6014, 139.3526)"
57,35.596,139.3439,れんげ食堂 Toshu 橋本店 Renge Shokudo Toshu,4.5,"(35.596, 139.3439)"
60,35.6147,139.3802,サンマルクカフェ プラスR fab南大沢店,5.0,"(35.6147, 139.3802)"
63,35.6026,139.3729,から吉　多摩境店,4.5,"(35.6026, 139.3729)"
71,35.5953,139.3727,ガスト 町田小山店 Gusto Machida Oyama,4.7,"(35.5953, 139.3727)"
73,35.6034,139.3646,ラ・オハナ 多摩境店 La Ohana Tamasakai,4.6,"(35.6034, 139.3646)"
74,35.6138,139.3792,インド料理CLASSIC,,"(35.6138, 139.3792)"
75,35.6027,139.3717,レッドロブスター 多摩境 RED LOBSTER Tamasakai,,"(35.6027, 139.3717)"
76,35.6266,139.337,日中食堂 Nityuusyokudou,4.5,"(35.6266, 139.337)"
77,35.6187,139.3884,ジョリーパスタ 南大沢店 Jolly Pasta,4.6,"(35.6187, 139.3884)"
78,35.6399,139.3416,キッチンオリジン 片倉店 Kitchen Origin,,"(35.6399, 139.3416)"
2,35.6289,139.3888,マクドナルド 野猿街道越野店 McDonald's Yaenkaido Koshino,4.8,"(35.6289, 139.3888)"
52,35.6145,139.4117,Lemson’s CREPE唐木田店,4.6,"(35.6145, 139.4117)"
76,35.6143,139.4109,一口茶屋唐木田ケーヨーデイツー店 Hitokuchicyaya KeiyoD2 Karakida,,"(35.6143, 139.4109)"
78,35.6604,139.3809,マイカリー食堂豊田店 My Curry Shokudo Toyoda,4.8,"(35.6604, 139.3809)"
38,35.6584,139.3428,松のや 京王八王子店 Matsunoya Keio Hachioji,4.6,"(35.6584, 139.3428)"
1,35.6378,139.4173,松屋 帝京大学前店 Matsuya Teikyo Daigakumae,4.6,"(35.6378, 139.4173)"
22,35.5858,139.3949,横浜家系ラーメン 町田商店 マックス店 Pork bone soup ramen Max,4.4,"(35.5858, 139.3949)"
35,35.6224,139.4247,韓国家庭料理ジャンモ多摩センター店 Korean Restaurant Zangmo Tama center,4.6,"(35.6224, 139.4247)"
46,35.6251,139.4254,肉汁餃子のダンダダン 多摩センター店,4.8,"(35.6251, 139.4254)"
69,35.6203,139.4231,モリバコーヒー クロスガーデン多摩店 Moriva Coffee Cross Garden Tama,4.6,"(35.6203, 139.4231)"
77,35.6552,139.3947,ガスト 日野南平店 Gusto Hino Minamidaira,4.8,"(35.6552, 139.3947)"
4,35.6139,139.3801,マクドナルド 南大沢駅前店 McDonald's Minami Osawa Station,4.5,"(35.6139, 139.3801)"
15,35.614,139.3797,スターバックス コーヒー フレンテ南大沢店 Starbucks frente Minami-Osawa,4.9,"(35.614, 139.3797)"
67,35.5923,139.3676,オー カルカッタ 相模原店 Oh Kolkata,,"(35.5923, 139.3676)"
1,35.5961,139.3438,ローソン 相模原橋本六丁目,4.8,"(35.5961, 139.3438)"
3,35.6065,139.3319,ローソン ＬＴＦ町田相原駅前,,"(35.6065, 139.3319)"
5,35.5939,139.3277,ツルハドラッグ相模原西橋本店,,"(35.5939, 139.3277)"
26,35.598,139.3372,唐揚げ専門　はっぴ商店　相模原店 KARAAGESENMON HAPPISHOUTEN SAGAMIHARA,,"(35.598, 139.3372)"
31,35.5965,139.3492,月夜に遊ぶ。 Tsukiyo ni Asobu,4.7,"(35.5965, 139.3492)"
32,35.5921,139.3545,ほっともっと 東橋本店,4.5,"(35.5921, 139.3545)"
33,35.5979,139.3417,ローソン グラントーレ橋本,4.5,"(35.5979, 139.3417)"
35,35.5952,139.3466,丼ぶり専科『DonDoDon！！』 橋本店,4.7,"(35.5952, 139.3466)"
36,35.596,139.3449,フロプレステージュ 橋本イオン店 FLO PRESTIGE Hashimoto Aeon,4.6,"(35.596, 139.3449)"
37,35.5962,139.3448,はなまるうどん イオン橋本店,4.5,"(35.5962, 139.3448)"
49,35.596,139.3455,カレーハウスCoCo壱番屋 JR橋本駅北口店,4.7,"(35.596, 139.3455)"
50,35.5951,139.3464,牛たんささ川 橋本店 Gyutan Sasagawa Hashimoto,,"(35.5951, 139.3464)"
54,35.5949,139.347,サイゼリヤ 橋本駅前,4.8,"(35.5949, 139.347)"
61,35.5944,139.3502,焼肉 平城苑 橋本店 HEIJOEN Hashimoto,,"(35.5944, 139.3502)"
63,35.5971,139.3426,肉汁餃子のダンダダン 橋本店,4.5,"(35.5971, 139.3426)"
64,35.5946,139.3472,八代目伏見双雲堂 hachidaime fushimi souundou,4.5,"(35.5946, 139.3472)"
68,35.5953,139.3468,オムライス専門店 オムライス厨房 橋本店,4.5,"(35.5953, 139.3468)"
70,35.5939,139.3503,大盛スタミナ肉丼 ニンニク野郎 橋本店,4.7,"(35.5939, 139.3503)"
71,35.5954,139.3467,ごはんが進む！油淋鶏飯店 橋本店,4.3,"(35.5954, 139.3467)"
73,35.5962,139.3448,マイカリー食堂 橋本店 My Curry Shokudo Hashimoto,5.0,"(35.5962, 139.3448)"
74,35.5966,139.3491,肉汁塩唐揚げ専門 柳屋,,"(35.5966, 139.3491)"
76,35.5951,139.3464,焼肉の達人 橋本店 Yakiniku no Tatsujin Hashimoto,,"(35.5951, 139.3464)"
15,35.5944,139.349,モスバーガー橋本３丁目店,4.7,"(35.5944, 139.349)"
27,35.5953,139.3446,餃子の王将 橋本駅ビル,4.6,"(35.5953, 139.3446)"
37,35.5904,139.3564,バーミヤン 東橋本店 Bamiyan Higashi Hashimoto,4.7,"(35.5904, 139.3564)"
46,35.595,139.3458,店内炊き上げ おかゆ専門店 粥餐庁 (かゆさんちん) 橋本店,4.7,"(35.595, 139.3458)"
50,35.5944,139.3448,ガスト 橋本駅前店 Gusto Hashimoto Ekimae,4.8,"(35.5944, 139.3448)"
76,35.595,139.3459,中国料理 謝朋殿 ミウィ橋本店,4.6,"(35.595, 139.3459)"
79,35.595,139.3458,とんかつ新宿さぼてん 橋本ミウィ店 Japanese Cutlet Saboten,4.9,"(35.595, 139.3458)"
1,35.591,139.3497,ドトールコーヒーショップ アリオ橋本店,,"(35.591, 139.3497)"
2,35.591,139.3497,バーガーキングアリオ橋本店 Burger King Ario Hashimoto,4.6,"(35.591, 139.3497)"
16,35.591,139.3498,伝説のすた丼屋 アリオ橋本店 Densetsu no Sutadonya Ario Hashimoto,4.5,"(35.591, 139.3498)"
41,35.591,139.3497,築地銀だこ アリオ橋本店,4.4,"(35.591, 139.3497)"
46,35.5952,139.3434,ビアードパパの作り立て工房 橋本店,4.9,"(35.5952, 139.3434)"
58,35.591,139.3497,天丼てんやアリオ橋本店 Tendon tenya ario hashimoto,,"(35.591, 139.3497)"
70,35.5951,139.3457,タコライス ハマタコ 橋本店 Taco Rice HAMATAKO Hashimoto store,4.7,"(35.5951, 139.3457)"
75,35.591,139.3497,サーティワン アイスクリームアリオ橋本 31 Ice Cream Ario Hashimoto,4.9,"(35.591, 139.3497)"
13,35.6069,139.3312,ローソン 町田相原駅西口,4.5,"(35.6069, 139.3312)"
48,35.6541,139.3394,カレーハウス CoCo壱番屋 八王子駅南口店 Curry House CoCo Ichibanya Hachioji Station South-Exit,4.5,"(35.6541, 139.3394)"
54,35.6577,139.3402,肉汁餃子のダンダダン 八王子店,4.6,"(35.6577, 139.3402)"
58,35.6539,139.3385,目利きの銀次 八王子南口駅前店,4.3,"(35.6539, 139.3385)"
66,35.6543,139.3379,博多餃子軒 サザンスカイタワー八王子店,,"(35.6543, 139.3379)"
76,35.6575,139.3374,回転寿司みさき　八王子店（海鮮三崎港）,5.0,"(35.6575, 139.3374)"
19,35.595,139.3397,すき家 16号相模原橋本店 Sukiya 16 Sagamihara Hashimoto,4.8,"(35.595, 139.3397)"
60,35.6053,139.3246,とりゆう TORIYUU,,"(35.6053, 139.3246)"
63,35.6524,139.3423,ドミノ・ピザ 八王子店 Domino's Pizza Hachioji Store,4.4,"(35.6524, 139.3423)"
66,35.6593,139.3395,なか卯 八王子店 Nakau Hachioji,4.7,"(35.6593, 139.3395)"
67,35.6547,139.3374,サイゼリヤ サザンスカイタワー八王子,,"(35.6547, 139.3374)"
32,35.5985,139.3214,ケンタッキーフライドチキン 相模原相原店 Kentucky Fried Chicken Sagamihara Aihara,4.6,"(35.5985, 139.3214)"
43,35.5908,139.3491,chawan アリオ橋本店 chawan Ario Hashimoto,4.7,"(35.5908, 139.3491)"
56,35.5987,139.3244,バーミヤン 西橋本店 Bamiyan Nishi Hashimoto,4.4,"(35.5987, 139.3244)"
60,35.5894,139.335,から好し 西橋本店 Karayoshi Nishi Hashimoto,4.6,"(35.5894, 139.335)"
4,35.5822,139.3549,クレープ専門店 CREPE FACTORY 南橋本店,,"(35.5822, 139.3549)"
9,35.5844,139.3599,ローソン 相模原小山二丁目,4.0,"(35.5844, 139.3599)"
61,35.5875,139.3393,らぁ麺食堂 吉凛 橋本本店 ramenshokudo kichirin hashimotohonten,,"(35.5875, 139.3393)"
71,35.5821,139.3622,ガスト 相模原清新店 Gusto Sagamihara Seishin,4.5,"(35.5821, 139.3622)"
60,35.628,139.4068,宅配どんぶり 神宮軒 多摩センター店,4.4,"(35.628, 139.4068)"
77,35.628,139.4068,韓国カルビ丼 スンドゥブ 洞山 多摩センター店,4.3,"(35.628, 139.4068)"
78,35.6278,139.4068,フライドチキン ヤンニョム 多摩センター店,4.1,"(35.6278, 139.4068)"
54,35.5792,139.3702,朝引き若鶏・朝獲れ鮮魚 粋-iki- asabikiwakadori・asatoresengyo iki,4.4,"(35.5792, 139.3702)"
55,35.5811,139.3687,チーズ専門店ゴルゴン Cheese specialty store Gorgon,,"(35.5811, 139.3687)"
61,35.5801,139.3717,大釜もつ煮 五右衛門 相模原駅前店 Goemon Sagamihara,4.5,"(35.5801, 139.3717)"
74,35.5811,139.371,サイゼリヤ セレオ相模原,,"(35.5811, 139.371)"
5,35.5801,139.3711,磯丸水産 JR相模原南口駅前店 Isomaru Suisan JR Sagamihara-Minamiguchi,,"(35.5801, 139.3711)"
6,35.5801,139.3711,うなぎの岡島 JR相模原南口駅前店,,"(35.5801, 139.3711)"
21,35.6002,139.3798,スターバックス コーヒー 多摩境店 Starbucks Coffee Tamasakai,4.8,"(35.6002, 139.3798)"
26,35.5795,139.3722,壱角家 相模原 Ichikakuya Sagamihara,4.5,"(35.5795, 139.3722)"
31,35.5728,139.3733,ケンタッキーフライドチキン 相模原中央店 Kentucky Fried Chicken Sagamihara Chuo,4.6,"(35.5728, 139.3733)"
54,35.5778,139.3748,ピザハット 相模原 Pizza Hut,4.7,"(35.5778, 139.3748)"
56,35.5775,139.3637,サイゼリヤ 相模原清新,5.0,"(35.5775, 139.3637)"
61,35.5784,139.3723,あい庵 Aian,4.4,"(35.5784, 139.3723)"
67,35.5798,139.4073,鎌倉パスタ 桜美林,4.6,"(35.5798, 139.4073)"
68,35.573,139.3867,や台ずし 矢部駅南口町,,"(35.573, 139.3867)"
69,35.5795,139.3706,吉野家 相模原駅前,4.5,"(35.5795, 139.3706)"
10,35.6025,139.3696,マクドナルド 多摩境店 McDonald's Tamasakai Station,4.5,"(35.6025, 139.3696)"
2,35.624,139.4008,マクドナルド 堀之内三和店 McDonald's Horinouchi Sanwa,4.7,"(35.624, 139.4008)"
21,35.6224,139.425,はなまるうどん ココリア多摩センター,,"(35.6224, 139.425)"
23,35.639,139.4215,カレーハウス CoCo壱番屋 八王子帝京大前店 Curry House CoCo Ichibanya Hachioji Teikyo University,4.7,"(35.639, 139.4215)"
36,35.6239,139.4234,究極のブロッコリーと鶏胸肉 多摩センター店 The ultimate broccoli & chicken breast Tama center,4.7,"(35.6239, 139.4234)"
37,35.625,139.4249,天丼てんや 多摩センター店 Tendon tenya Tama Center,4.7,"(35.625, 139.4249)"
38,35.6222,139.4249,インド・タイ料理　絆,,"(35.6222, 139.4249)"
47,35.6254,139.4243,ドトールコーヒーショップ京王多摩センター店,4.8,"(35.6254, 139.4243)"
48,35.6254,139.4243,大衆食堂 定食のまる大 多摩センター店,4.2,"(35.6254, 139.4243)"
51,35.6256,139.4242,鶏のジョージ 多摩センター北口駅前店,,"(35.6256, 139.4242)"
53,35.6224,139.4249,タイレストラン サイノ Thairestaurant Saino,4.7,"(35.6224, 139.4249)"
55,35.6232,139.4263,伝説のサーモンハンター 翔 多摩センター店 Densetsuno Salmon Hunter SHO Tama Center ten,4.7,"(35.6232, 139.4263)"
56,35.6253,139.4236,串焼たくま　多摩センター Kushiyaki Takuma,,"(35.6253, 139.4236)"
60,35.6253,139.4236,裏羊馬猪鹿 Urayamashika,,"(35.6253, 139.4236)"
65,35.6238,139.4235,渋谷カオマンガイ 多摩センター店shibuya khaomankai tama center,4.9,"(35.6238, 139.4235)"
68,35.6239,139.4235,らぁ麺 はやし田 多摩センター,4.6,"(35.6239, 139.4235)"
70,35.6254,139.4243,タリーズコーヒー 京王多摩センター駅,4.9,"(35.6254, 139.4243)"
75,35.6224,139.4249,長崎ちゃんぽん リンガーハット ココリア多摩センター店,,"(35.6224, 139.4249)"
78,35.6548,139.3917,タトゥケバブ TAT KEBAB,4.8,"(35.6548, 139.3917)"
72,35.6254,139.4243,炭火焼鳥  塚田農場  多摩センター店,,"(35.6254, 139.4243)"
73,35.6232,139.4263,絶品いくら 専門店 升酒 多摩センター店 Zeppin ikura Senmonten MASUZAKE Tama Center ten,4.4,"(35.6232, 139.4263)"
76,35.6249,139.4274,回転寿司みさき　多摩センター店（海鮮三崎港）,,"(35.6249, 139.4274)"
22,35.6334,139.4431,からやま 多摩永山店 Karayama Tama Nagayama,4.8,"(35.6334, 139.4431)"
60,35.6251,139.4241,カレーショップC&C多摩センター店,,"(35.6251, 139.4241)"
46,35.6658,139.3707,味の民芸 八王子店 Ajino Mingei Hachioji,4.5,"(35.6658, 139.3707)"
65,35.6655,139.3789,ピザハット 東八王子 Pizza Hut,4.7,"(35.6655, 139.3789)"
23,35.6615,139.4143,まぐろ丼専門店 本まぐろの鬼人 高幡不動店,4.2,"(35.6615, 139.4143)"
28,35.6696,139.4076,からやま 日野店 Karayama HINO,4.7,"(35.6696, 139.4076)"
29,35.6615,139.4143,サーモンの鬼人 高幡不動店,4.7,"(35.6615, 139.4143)"
61,35.6619,139.4131,肉汁餃子のダンダダン 高幡不動店,4.3,"(35.6619, 139.4131)"
69,35.6424,139.4276,ガスト 多摩中和田店 Gusto Tama Nakawada,4.8,"(35.6424, 139.4276)"
7,35.6513,139.4415,伝説のすた丼屋聖蹟桜ケ丘店,4.6,"(35.6513, 139.4415)"
19,35.6318,139.4354,かつさと 多摩センター店 katsusato tama,,"(35.6318, 139.4354)"
29,35.6291,139.4483,はなまるうどん グリナード永山,4.2,"(35.6291, 139.4483)"
39,35.6318,139.4374,もつ煮専門店 まるも MARUMO,,"(35.6318, 139.4374)"
56,35.6317,139.4354,からあげ家 たつを KARAAGEYA TATSUWO,,"(35.6317, 139.4354)"
72,35.6591,139.4172,ガスト 高幡不動店 Gusto Takahata Fudo,4.6,"(35.6591, 139.4172)"
6,35.6698,139.4131,ほっともっとグリル 日野万願寺店,4.6,"(35.6698, 139.4131)"
12,35.6509,139.4478,天丼てんや 聖蹟桜ヶ丘店 Tendon tenya Seiseki Sakuragaoka,4.8,"(35.6509, 139.4478)"
17,35.6292,139.4484,すき家 グリナード永山店 Sukiya Greenade Nagayama,4.7,"(35.6292, 139.4484)"
28,35.6699,139.4079,横浜家系ラーメン 万願寺大和家,4.5,"(35.6699, 139.4079)"
36,35.6701,139.4089,バーミヤン 日野万願寺店 Bamiyan Hino Manganji,4.8,"(35.6701, 139.4089)"
43,35.6504,139.4447,うさぎワンダーワールド Usagi Wonder World,,"(35.6504, 139.4447)"
52,35.6698,139.4209,サイゼリヤ 万願寺,,"(35.6698, 139.4209)"
55,35.6556,139.3953,ドミノ・ピザ 日野南平店 Domino's Pizza Hino Minamidaira Store,4.7,"(35.6556, 139.3953)"
59,35.6342,139.4446,味の民芸 多摩永山店 Tama Nagayama,4.5,"(35.6342, 139.4446)"
77,35.6615,139.4143,サイゼリヤ 京王高幡ショッピングセンター,,"(35.6615, 139.4143)"
78,35.6613,139.4132,からあげの鉄人 高幡不動駅前店,4.5,"(35.6613, 139.4132)"
3,35.6707,139.4217,ローソン 日野石田一丁目,4.5,"(35.6707, 139.4217)"
9,35.6305,139.4479,モスバーガー 京王リトナード永山店,4.6,"(35.6305, 139.4479)"
14,35.6513,139.4472,ロッテリア 京王聖蹟桜ヶ丘店 LOTTERIA Keio Seiseki sakuragaoka,4.4,"(35.6513, 139.4472)"
25,35.6508,139.4483,ドトールコーヒーショップ聖蹟桜ヶ丘東口店,4.9,"(35.6508, 139.4483)"
28,35.6519,139.4471,ウェンディーズ・ファーストキッチン 京王聖蹟桜ヶ丘ショッピングセンター,4.7,"(35.6519, 139.4471)"
31,35.6506,139.4486,味噌ぶりNoodleみやみや聖蹟桜ヶ丘店 Misoburi Noodle Miyamiya Seisekisakuragaoka Store,4.8,"(35.6506, 139.4486)"
34,35.6514,139.4466,サーティワンアイスクリーム 聖蹟桜ヶ丘店 31IceCream Seiseki Sakuragaoka,4.6,"(35.6514, 139.4466)"
36,35.6509,139.4485,果茶果茶 聖蹟桜ヶ丘店,4.8,"(35.6509, 139.4485)"
40,35.651,139.4479,イタリアンダイニング ドナ 京王聖蹟桜ヶ丘ＳＣ店 Italian dining DoNa Keio Seiseki Sakuragaoka SC,,"(35.651, 139.4479)"
43,35.6491,139.4527,アジアンダイニング＆バー エベレストキッチン asian dining&bar-everest kitchin,,"(35.6491, 139.4527)"
46,35.6497,139.4466,ガスト 聖蹟桜ヶ丘オーパ店 Gusto Seiseki Sakuragaoka Opa,4.5,"(35.6497, 139.4466)"
50,35.6503,139.448,牡蠣屋うらら聖蹟桜ヶ丘店 Oyster's Restaurant URARA,4.9,"(35.6503, 139.448)"
56,35.6523,139.4481,つけ麺香具楽 聖蹟桜ヶ丘店,,"(35.6523, 139.4481)"
59,35.6503,139.4478,とんかつの和吉 聖蹟桜ヶ丘駅前店,4.8,"(35.6503, 139.4478)"
61,35.6511,139.4484,長崎らーめん 西海製麺所 聖蹟桜ヶ丘店,,"(35.6511, 139.4484)"
62,35.652,139.4471,シェーキーズ 聖蹟桜ヶ丘店 Shakey's Seiseki Sakuragaoka,,"(35.652, 139.4471)"
63,35.631,139.4476,れんげ食堂 Toshu 京王永山店 Renge Shokudo Toshu,4.7,"(35.631, 139.4476)"
64,35.6512,139.4487,『櫻井・有吉のTHE夜会で話題』極太麻婆春雨　聖蹟桜ヶ丘店,4.5,"(35.6512, 139.4487)"
67,35.6314,139.4484,肉汁餃子のダンダダン 京王永山店,3.7,"(35.6314, 139.4484)"
60,35.6509,139.4485,ごはんが進む！『チキン南蛮本舗』 聖蹟桜ヶ丘店,4.7,"(35.6509, 139.4485)"
78,35.6509,139.4478,カレーショップC&C桜ヶ丘店,,"(35.6509, 139.4478)"
45,35.6318,139.4371,ドミノ・ピザ 多摩ニュータウン通り店 Domino's Pizza Tama New Town Dori Store,4.8,"(35.6318, 139.4371)"
3,35.625,139.4239,マクドナルド 京王多摩センター店 McDonald's Keio Tama Center,4.8,"(35.625, 139.4239)"
4,35.6232,139.4264,マクドナルド 多摩センター店 McDonald's Tama Center,4.7,"(35.6232, 139.4264)"
22,35.6229,139.4253,スターバックス コーヒー ココリア多摩センター店 Starbucks Coffee COCOLIA TAMACENTER,4.8,"(35.6229, 139.4253)"
69,35.6314,139.448,ハンバーグ&バーガー TERU 永山駅前店,4.4,"(35.6314, 139.448)"
49,35.6638,139.3291,ガスト 八王子大横町店 Gusto Hachioji Oyokocho,5.0,"(35.6638, 139.3291)"
53,35.6589,139.3134,ドミノ・ピザ 西八王子店 Domino's Pizza Nishi Hachioji Store,4.5,"(35.6589, 139.3134)"
57,35.6803,139.3078,サイゼリヤ 八王子楢原,4.3,"(35.6803, 139.3078)"
60,35.6825,139.305,オリーブの丘 八王子楢原,4.6,"(35.6825, 139.305)"
63,35.68,139.2803,ジョイフル東京八王子,4.6,"(35.68, 139.2803)"
75,35.6783,139.3098,長崎ちゃんぽん リンガーハット 八王子楢原,4.7,"(35.6783, 139.3098)"
77,35.6592,139.3283,弘福餃子專門店 Kofuku Gyoza Store,,"(35.6592, 139.3283)"
60,35.6582,139.3361,究極のブロッコリーと鶏胸肉 八王子店 The ultimate broccoli & chicken breast Hachioji,4.5,"(35.6582, 139.3361)"
73,35.6574,139.3368,ここまで美味くなる唐揚げ【最高金賞】ぶんごや 監修  八王子三崎町,4.4,"(35.6574, 139.3368)"
77,35.6873,139.3048,スシロー 楢原店,4.4,"(35.6873, 139.3048)"
60,35.6593,139.333,マッスルファクトリー 八王子,4.5,"(35.6593, 139.333)"
77,35.6555,139.314,水戸スタミナ丼 こむろ 西八王子店,4.7,"(35.6555, 139.314)"
78,35.6574,139.3079,フルッタフルッタ アサイー エナジー バー 八王子店,5.0,"(35.6574, 139.3079)"
78,35.6564,139.3384,THE DAD BOD BURGER 八王子 The Dad Bod Burger Hachioji,,"(35.6564, 139.3384)"
78,35.6563,139.3385,ビビンバ・カルビ丼・スンドゥブ専門店 グンチャン 八王子北口駅前店,,"(35.6563, 139.3385)"
32,35.6061,139.3173,ガスト 町田相原店 Gusto Machida Aihara,4.8,"(35.6061, 139.3173)"
34,35.597,139.3028,グラッチェガーデンズ 津久井城山店 Grazie Gardens Tsukui Shiroyama,,"(35.597, 139.3028)"
43,35.6252,139.328,ほっともっと みなみ野シティ店,4.8,"(35.6252, 139.328)"
49,35.5973,139.3113,横浜家系ラーメン 町田商店 城山店,4.3,"(35.5973, 139.3113)"
50,35.6062,139.3174,から好し 町田相原店 Karayoshi Machida Aihara,,"(35.6062, 139.3174)"
58,35.642,139.3073,シカゴピザめじろ台駅前店,4.7,"(35.642, 139.3073)"
67,35.6378,139.2935,マクドナルド八王子イトーヨーカドー店 McDonald's HACHIOJI ITO YOKADO,4.9,"(35.6378, 139.2935)"
79,35.6337,139.3301,デニーズ 八王子みなみ野店 Denny's HACHIOJI MINAMINO,4.9,"(35.6337, 139.3301)"
21,35.5984,139.3173,ほっともっと 相模原二本松店,4.9,"(35.5984, 139.3173)"
52,35.5983,139.3175,吉野家 相模原二本松,4.3,"(35.5983, 139.3175)"
54,35.5969,139.3097,久兵衛屋 相模原原宿店,4.1,"(35.5969, 139.3097)"
70,35.5973,139.3123,ジョリーパスタ 相模原城山店 Jolly Pasta Sagamihara Shiroyama,,"(35.5973, 139.3123)"
46,35.5946,139.3253,ピザハット 二本松 Pizza Hut,4.8,"(35.5946, 139.3253)"
60,35.6409,139.3327,カレーうどんの店　玄人　八王子店,4.8,"(35.6409, 139.3327)"
64,35.5971,139.311,お好み焼き道とん堀 城山店,,"(35.5971, 139.311)"
71,35.5976,139.3144,はま寿司 相模原城山店 Hamazushi,4.1,"(35.5976, 139.3144)"
74,35.6524,139.3209,FRANKS,,"(35.6524, 139.3209)"
51,35.5982,139.3346,味の民芸 相模原橋本店 Sagamihara Hashimoto,4.9,"(35.5982, 139.3346)"
54,35.5934,139.3314,ピーターパン 相模原ロイヤルホームセンター店 Peterpan Express Royal HomeCentar Sagamihara,4.6,"(35.5934, 139.3314)"
65,35.594,139.3311,石焼ビビンパ相模原店 Ishiyaki bibimbap Sagamihara store,4.4,"(35.594, 139.3311)"
72,35.5944,139.3449,なか卯 橋本 Nakau Hashimoto,4.4,"(35.5944, 139.3449)"
74,35.6086,139.3468,ビッグボーイ 町田小山ヶ丘店 Steak Big Boy,4.6,"(35.6086, 139.3468)"
78,35.6526,139.3288,チョアチキン八王子上野町店 CHOA CHICKEN HACHIOJI UENOMACHI,4.5,"(35.6526, 139.3288)"
70,35.6763,139.3125,Sweets Factory 楢原店,,"(35.6763, 139.3125)"
78,35.6841,139.303,和食さと 楢原 narahara,4.5,"(35.6841, 139.303)"
30,35.676,139.2949,ピザーラスタイル西八王子（PIZZA-LA STYLE Nishi-Hachioji）,4.1,"(35.676, 139.2949)"
36,35.6705,139.317,安楽亭 八王子中野上町,,"(35.6705, 139.317)"
40,35.6656,139.315,長崎らーめん西海製麺所八王子店,,"(35.6656, 139.315)"
41,35.6813,139.3065,から好し 八王子楢原町店 Karayoshi Hachioji Naraharamachi,4.1,"(35.6813, 139.3065)"
51,35.6574,139.3079,定食の匠屋 八王子店,,"(35.6574, 139.3079)"
52,35.6574,139.3079,博多名物！旨辛鉄板焼肉 中洲亭 八王子店,,"(35.6574, 139.3079)"
53,35.6575,139.3078,フードデリバリーからあげ 鶏鳥 八王子店,,"(35.6575, 139.3078)"
54,35.6575,139.3078,【「うまい！」大集合】 八王子店 Umaidaishuugou HACHIOJI,,"(35.6575, 139.3078)"
55,35.6574,139.3079,肉汁牧場チャックステーキ KING 八王子店,,"(35.6574, 139.3079)"
56,35.6574,139.3079,ガチでうまい「ガチ丼屋」 八王子店,,"(35.6574, 139.3079)"
57,35.6575,139.3079,海鮮丼茶月 八王子店,,"(35.6575, 139.3079)"
58,35.6574,139.3079,アパ社長カレー監修DELIS 八王子店,,"(35.6574, 139.3079)"
59,35.6575,139.3079,三代目たいめいけん茂出木シェフ監修　ハンバーグカレーの洋食亭 八王子店,,"(35.6575, 139.3079)"
60,35.672,139.3159,南インド料理 レジナ minamiindoryori regina,,"(35.672, 139.3159)"
61,35.6574,139.3079,大阪のミシュランスター祇園 又吉監修×delis牛丼 八王子店,,"(35.6574, 139.3079)"
